diyogon 36347 Sun Aug 28 17:38:11 2016

Avatar 0:(4,34) Moving north.
0:(4,33) 1:(17,21) 2:(3,30) Avatar 1:(17,21) Moving north.
0:(4,33) 1:(17,20) 2:(3,30) Avatar 2:(3,30) Moving north.
0:(4,33) 1:(17,20) 2:(3,29) Avatar 0:(4,33) Moving north.
0:(4,33) 1:(17,20) 2:(3,29) Avatar 1:(17,20) Moving north.
0:(4,33) 1:(17,20) 2:(3,29) Avatar 2:(3,29) Moving north.
0:(4,33) 1:(17,20) 2:(3,29) Avatar 0:(4,33) Moving east.
0:(5,33) 1:(17,20) 2:(3,29) Avatar 1:(17,20) Moving east.
0:(5,33) 1:(18,20) 2:(3,29) Avatar 2:(3,29) Moving east.
0:(5,33) 1:(18,20) 2:(4,29) Avatar 0:(5,33) Moving north.
0:(5,33) 1:(18,20) 2:(4,29) Avatar 1:(18,20) Moving north.
0:(5,33) 1:(18,19) 2:(4,29) Avatar 2:(4,29) Moving north.
0:(5,33) 1:(18,19) 2:(4,29) Avatar 0:(5,33) Moving east.
0:(5,33) 1:(18,19) 2:(4,29) Avatar 1:(18,19) Moving north.
0:(5,33) 1:(18,18) 2:(4,29) Avatar 2:(4,29) Moving east.
0:(5,33) 1:(18,18) 2:(5,29) Avatar 0:(5,33) Moving south.
0:(5,34) 1:(18,18) 2:(5,29) Avatar 1:(18,18) Moving north.
0:(5,34) 1:(18,17) 2:(5,29) Avatar 2:(5,29) Moving north.
0:(5,34) 1:(18,17) 2:(5,28) Avatar 0:(5,34) Moving east.
0:(5,34) 1:(18,17) 2:(5,28) Avatar 1:(18,17) Moving north.
0:(5,34) 1:(18,17) 2:(5,28) Avatar 2:(5,28) Moving north.
0:(5,34) 1:(18,17) 2:(5,28) Avatar 0:(5,34) Moving south.
0:(5,35) 1:(18,17) 2:(5,28) Avatar 1:(18,17) Moving east.
0:(5,35) 1:(18,17) 2:(5,28) Avatar 2:(5,28) Moving east.
0:(5,35) 1:(18,17) 2:(6,28) Avatar 0:(5,35) Moving east.
0:(6,35) 1:(18,17) 2:(6,28) Avatar 1:(18,17) Moving west.
0:(6,35) 1:(18,17) 2:(6,28) Avatar 2:(6,28) Moving north.
0:(6,35) 1:(18,17) 2:(6,27) Avatar 0:(6,35) Moving north.
0:(6,34) 1:(18,17) 2:(6,27) Avatar 1:(18,17) Moving south.
0:(6,34) 1:(18,18) 2:(6,27) Avatar 2:(6,27) Moving north.
0:(6,34) 1:(18,18) 2:(6,27) Avatar 0:(6,34) Moving north.
0:(6,34) 1:(18,18) 2:(6,27) Avatar 1:(18,18) Moving east.
0:(6,34) 1:(18,18) 2:(6,27) Avatar 2:(6,27) Moving east.
0:(6,34) 1:(18,18) 2:(7,27) Avatar 0:(6,34) Moving east.
0:(7,34) 1:(18,18) 2:(7,27) Avatar 1:(18,18) Moving west.
0:(7,34) 1:(18,18) 2:(7,27) Avatar 2:(7,27) Moving north.
0:(7,34) 1:(18,18) 2:(7,27) Avatar 0:(7,34) Moving north.
0:(7,34) 1:(18,18) 2:(7,27) Avatar 1:(18,18) Moving south.
0:(7,34) 1:(18,19) 2:(7,27) Avatar 2:(7,27) Moving east.
0:(7,34) 1:(18,19) 2:(8,27) Avatar 0:(7,34) Moving east.
0:(8,34) 1:(18,19) 2:(8,27) Avatar 1:(18,19) Moving east.
0:(8,34) 1:(19,19) 2:(8,27) Avatar 2:(8,27) Moving north.
0:(8,34) 1:(19,19) 2:(8,27) Avatar 0:(8,34) Moving north.
0:(8,34) 1:(19,19) 2:(8,27) Avatar 1:(19,19) Moving north.
0:(8,34) 1:(19,19) 2:(8,27) Avatar 2:(8,27) Moving east.
0:(8,34) 1:(19,19) 2:(8,27) Avatar 0:(8,34) Moving east.
0:(9,34) 1:(19,19) 2:(8,27) Avatar 1:(19,19) Moving east.
0:(9,34) 1:(20,19) 2:(8,27) Avatar 2:(8,27) Moving south.
0:(9,34) 1:(20,19) 2:(8,28) Avatar 0:(9,34) Moving north.
0:(9,34) 1:(20,19) 2:(8,28) Avatar 1:(20,19) Moving north.
0:(9,34) 1:(20,19) 2:(8,28) Avatar 2:(8,28) Moving east.
0:(9,34) 1:(20,19) 2:(9,28) Avatar 0:(9,34) Moving east.
0:(10,34) 1:(20,19) 2:(9,28) Avatar 1:(20,19) Moving east.
0:(10,34) 1:(20,19) 2:(9,28) Avatar 2:(9,28) Moving north.
0:(10,34) 1:(20,19) 2:(9,28) Avatar 0:(10,34) Moving north.
0:(10,34) 1:(20,19) 2:(9,28) Avatar 1:(20,19) Moving south.
0:(10,34) 1:(20,20) 2:(9,28) Avatar 2:(9,28) Moving east.
0:(10,34) 1:(20,20) 2:(9,28) Avatar 0:(10,34) Moving east.
0:(11,34) 1:(20,20) 2:(9,28) Avatar 1:(20,20) Moving east.
0:(11,34) 1:(21,20) 2:(9,28) Avatar 2:(9,28) Moving south.
0:(11,34) 1:(21,20) 2:(9,29) Avatar 0:(11,34) Moving north.
0:(11,34) 1:(21,20) 2:(9,29) Avatar 1:(21,20) Moving north.
0:(11,34) 1:(21,20) 2:(9,29) Avatar 2:(9,29) Moving east.
0:(11,34) 1:(21,20) 2:(10,29) Avatar 0:(11,34) Moving east.
0:(12,34) 1:(21,20) 2:(10,29) Avatar 1:(21,20) Moving east.
0:(12,34) 1:(22,20) 2:(10,29) Avatar 2:(10,29) Moving north.
0:(12,34) 1:(22,20) 2:(10,29) Avatar 0:(12,34) Moving north.
0:(12,34) 1:(22,20) 2:(10,29) Avatar 1:(22,20) Moving north.
0:(12,34) 1:(22,20) 2:(10,29) Avatar 2:(10,29) Moving east.
0:(12,34) 1:(22,20) 2:(11,29) Avatar 0:(12,34) Moving east.
0:(12,34) 1:(22,20) 2:(11,29) Avatar 1:(22,20) Moving east.
0:(12,34) 1:(23,20) 2:(11,29) Avatar 2:(11,29) Moving north.
0:(12,34) 1:(23,20) 2:(11,29) Avatar 0:(12,34) Moving south.
0:(12,35) 1:(23,20) 2:(11,29) Avatar 1:(23,20) Moving north.
0:(12,35) 1:(23,19) 2:(11,29) Avatar 2:(11,29) Moving east.
0:(12,35) 1:(23,19) 2:(12,29) Avatar 0:(12,35) Moving east.
0:(12,35) 1:(23,19) 2:(12,29) Avatar 1:(23,19) Moving north.
0:(12,35) 1:(23,19) 2:(12,29) Avatar 2:(12,29) Moving north.
0:(12,35) 1:(23,19) 2:(12,29) Avatar 0:(12,35) Moving south.
0:(12,36) 1:(23,19) 2:(12,29) Avatar 1:(23,19) Moving east.
0:(12,36) 1:(23,19) 2:(12,29) Avatar 2:(12,29) Moving east.
0:(12,36) 1:(23,19) 2:(12,29) Avatar 0:(12,36) Moving east.
0:(13,36) 1:(23,19) 2:(12,29) Avatar 1:(23,19) Moving west.
0:(13,36) 1:(23,19) 2:(12,29) Avatar 2:(12,29) Moving south.
0:(13,36) 1:(23,19) 2:(12,30) Avatar 0:(13,36) Moving north.
0:(13,36) 1:(23,19) 2:(12,30) Avatar 1:(23,19) Moving south.
0:(13,36) 1:(23,20) 2:(12,30) Avatar 2:(12,30) Moving east.
0:(13,36) 1:(23,20) 2:(12,30) Avatar 0:(13,36) Moving east.
